Split Seed,Shuffle Seed,Depth of Tree,Mean Accuracy,Mean F1 Score,Mean Precision,Mean Recall
42,1,2,0.8400000000000001,0.7462252530078617,0.7388578088578088,0.8023809523809524
42,1,3,0.8266666666666668,0.7431734931734932,0.73,0.819047619047619
42,1,4,0.8266666666666668,0.7431734931734932,0.73,0.819047619047619
42,1,5,0.8266666666666668,0.7431734931734932,0.73,0.819047619047619
42,1,6,0.8266666666666668,0.7431734931734932,0.73,0.819047619047619
42,1,7,0.8266666666666668,0.7431734931734932,0.73,0.819047619047619
42,1,8,0.8266666666666668,0.7431734931734932,0.73,0.819047619047619
42,1,9,0.8266666666666668,0.7431734931734932,0.73,0.819047619047619
42,1,10,0.8266666666666668,0.7431734931734932,0.73,0.819047619047619
42,1,11,0.8266666666666668,0.7431734931734932,0.73,0.819047619047619
42,1,12,0.8266666666666668,0.7431734931734932,0.73,0.819047619047619
42,1,13,0.8266666666666668,0.7431734931734932,0.73,0.819047619047619
42,1,14,0.8266666666666668,0.7431734931734932,0.73,0.819047619047619
42,1,15,0.8266666666666668,0.7431734931734932,0.73,0.819047619047619
42,1,16,0.8266666666666668,0.7431734931734932,0.73,0.819047619047619
42,1,17,0.8266666666666668,0.7431734931734932,0.73,0.819047619047619
42,1,18,0.8266666666666668,0.7431734931734932,0.73,0.819047619047619
42,1,19,0.8266666666666668,0.7431734931734932,0.73,0.819047619047619
42,1,20,0.8266666666666668,0.7431734931734932,0.73,0.819047619047619
42,2,2,0.8533333333333332,0.6587571113433184,0.7119047619047618,0.7592773892773893
42,2,3,0.8400000000000001,0.669006919006919,0.7183816183816184,0.7649184149184148
42,2,4,0.8266666666666665,0.6507890257890259,0.7108058608058607,0.7449184149184148
42,2,5,0.8266666666666665,0.6507890257890259,0.7108058608058607,0.7449184149184148
42,2,6,0.8266666666666665,0.6507890257890259,0.7108058608058607,0.7449184149184148
42,2,7,0.8266666666666665,0.6507890257890259,0.7108058608058607,0.7449184149184148
42,2,8,0.8266666666666665,0.6507890257890259,0.7108058608058607,0.7449184149184148
42,2,9,0.8266666666666665,0.6507890257890259,0.7108058608058607,0.7449184149184148
42,2,10,0.8266666666666665,0.6507890257890259,0.7108058608058607,0.7449184149184148
42,2,11,0.8266666666666665,0.6507890257890259,0.7108058608058607,0.7449184149184148
42,2,12,0.8266666666666665,0.6507890257890259,0.7108058608058607,0.7449184149184148
42,2,13,0.8266666666666665,0.6507890257890259,0.7108058608058607,0.7449184149184148
42,2,14,0.8266666666666665,0.6507890257890259,0.7108058608058607,0.7449184149184148
42,2,15,0.8266666666666665,0.6507890257890259,0.7108058608058607,0.7449184149184148
42,2,16,0.8266666666666665,0.6507890257890259,0.7108058608058607,0.7449184149184148
42,2,17,0.8266666666666665,0.6507890257890259,0.7108058608058607,0.7449184149184148
42,2,18,0.8266666666666665,0.6507890257890259,0.7108058608058607,0.7449184149184148
42,2,19,0.8266666666666665,0.6507890257890259,0.7108058608058607,0.7449184149184148
42,2,20,0.8266666666666665,0.6507890257890259,0.7108058608058607,0.7449184149184148
42,3,2,0.8933333333333333,0.6864377640239709,0.8070695970695972,0.683974358974359
42,3,3,0.8933333333333333,0.6864377640239709,0.8070695970695972,0.683974358974359
42,3,4,0.8800000000000001,0.6705647481509551,0.7870695970695971,0.6748834498834498
