Model,Split Seed,Shuffle Seed,Max Depth,Accuracy_train,F1 Score_train,Precision_train,Recall_Train
1,42,1,2,0.8452380952380952,0.7428773251707087,0.7371323529411764,0.7492753623188406
2,42,2,3,0.9523809523809523,0.9089924160346695,0.9726027397260274,0.8666666666666667
3,42,3,2,0.8928571428571429,0.8124534854874721,0.8214285714285714,0.8043478260869565
4,42,4,2,0.9047619047619048,0.8285714285714285,0.8494041170097508,0.8115942028985508
5,42,5,3,0.8809523809523809,0.8156277436347674,0.7927125506072874,0.8492753623188406
6,42,6,2,0.8809523809523809,0.7569444444444444,0.8355555555555556,0.7188405797101449
7,42,7,4,0.9166666666666666,0.8355244755244755,0.9094594594594595,0.7927536231884058
8,42,8,2,0.9047619047619048,0.8055555555555556,0.8977777777777778,0.7594202898550725
9,42,9,2,0.9285714285714286,0.8634886240520043,0.9202988792029887,0.8260869565217391
10,42,10,3,0.9642857142857143,0.9406639981163174,0.9301470588235294,0.9521739130434783
11,42,11,2,0.9404761904761905,0.8896769109535066,0.9305555555555556,0.8594202898550725
12,42,12,2,0.9047619047619048,0.8055555555555556,0.8977777777777778,0.7594202898550725
13,42,13,2,0.9047619047619048,0.8179848320693391,0.8679950186799502,0.7855072463768116
14,42,14,2,0.9166666666666666,0.861549328938074,0.8529411764705883,0.8710144927536232
15,42,15,2,0.9047619047619048,0.8179848320693391,0.8679950186799502,0.7855072463768116
16,42,16,3,0.9404761904761905,0.8825174825174825,0.9662162162162162,0.8333333333333333
17,42,17,3,0.8928571428571429,0.8124534854874721,0.8214285714285714,0.8043478260869565
18,42,18,2,0.9285714285714286,0.8634886240520043,0.9202988792029887,0.8260869565217391
19,42,19,2,0.9047619047619048,0.8376811594202898,0.8376811594202898,0.8376811594202898
20,42,20,5,0.9523809523809523,0.9089924160346695,0.9726027397260274,0.8666666666666667
21,42,21,2,0.8809523809523809,0.772481040086674,0.8156911581569115,0.7449275362318841
