Model,Split Seed,Shuffle Seed,Max Depth,Accuracy_train,F1 Score_train,Precision_train,Recall_Train
1,42,1,4,0.9714285714285714,0.9691362856054557,0.9736758943243585,0.9651694459386767
2,42,2,6,0.989010989010989,0.9883021991865528,0.985632183908046,0.9912587412587412
3,42,3,8,1.0,1.0,1.0,1.0
4,42,4,4,0.9648351648351648,0.9619644723092999,0.9671694764862466,0.9575040344271113
5,42,5,2,0.9582417582417583,0.9544042489227378,0.9652672908486861,0.9462076385153309
6,42,6,4,0.9934065934065934,0.9929649691540955,0.9912790697674418,0.9947552447552448
7,42,7,2,0.9560439560439561,0.9519372966577937,0.9636627277842704,0.943249058633674
8,42,8,2,0.9560439560439561,0.9519372966577937,0.9636627277842704,0.943249058633674
9,42,9,3,0.9472527472527472,0.9444037145650048,0.9388962552234008,0.9519903173749327
10,42,10,4,0.9758241758241758,0.9744367661104556,0.9694444444444444,0.9807692307692308
11,42,11,3,0.945054945054945,0.9413747429507959,0.9398676966061303,0.9429800968262507
12,42,12,2,0.9516483516483516,0.947836328011006,0.9514875199596604,0.9445938676707908
13,42,13,3,0.9626373626373627,0.9590890098323892,0.971947194719472,0.9497041420118344
14,42,14,6,1.0,1.0,1.0,1.0
15,42,15,3,0.9538461538461539,0.9509811465948441,0.9476824698598891,0.9548144163528779
16,42,16,2,0.9318681318681319,0.9258119658119659,0.9343645484949833,0.9191769768692846
17,42,17,3,0.9582417582417583,0.9548914943464354,0.9592971811401845,0.951048951048951
18,42,18,2,0.9516483516483516,0.9468277239503655,0.9623305698118174,0.9361215707369553
19,42,19,3,0.9472527472527472,0.9427960774453106,0.9492712051674316,0.9374663797740721
20,42,20,2,0.945054945054945,0.940646703087415,0.9449184679560105,0.9369284561592254
21,42,21,3,0.9516483516483516,0.9482248520710059,0.9482248520710059,0.9482248520710059
22,42,22,4,0.9736263736263736,0.9720824641060253,0.9674621488138613,0.9778106508875739
23,42,23,3,0.967032967032967,0.9641997261869167,0.9717853641904275,0.9580419580419581
24,42,24,6,0.9956043956043956,0.995281649245064,0.9965277777777778,0.9940828402366864
25,42,25,7,1.0,1.0,1.0,1.0
26,42,26,3,0.9472527472527472,0.9432385229540918,0.945559038662487,0.9410973641742872
27,42,27,2,0.9406593406593406,0.934647650560429,0.9507769169821287,0.9237493275954815
28,42,28,3,0.978021978021978,0.9766838847210266,0.9727777100353616,0.9813071543840775
29,42,29,4,0.9758241758241758,0.9740809213831104,0.9746660859465737,0.9735072619688004
30,42,30,6,1.0,1.0,1.0,1.0
31,42,31,4,0.9846153846153847,0.9833810768644762,0.9880546075085324,0.9792899408284024
32,42,32,4,0.9626373626373627,0.9601348252065414,0.9585627413920619,0.9618074233458849
33,42,33,4,0.9824175824175824,0.9810795076513639,0.9835945663531871,0.9787520172135558
34,42,34,5,0.9824175824175824,0.9811265969802554,0.9823374085163007,0.9799623453469607
35,42,35,2,0.9692307692307692,0.9669715447154471,0.9681470392548237,0.965841850457235
36,42,36,5,0.9978021978021978,0.9976494170037558,0.9970588235294118,0.9982517482517482
37,42,37,4,0.9758241758241758,0.9739514210918023,0.9771079540692313,0.9710866057019902
38,42,38,2,0.9472527472527472,0.9430941760120065,0.9467077065299605,0.9398870360408822
39,42,39,3,0.9318681318681319,0.923806591364567,0.9511041009463723,0.908284023668639
40,42,40,3,0.9758241758241758,0.9740168721609345,0.975841080585317,0.9722969338353954
41,42,41,7,1.0,1.0,1.0,1.0
42,42,42,5,0.989010989010989,0.9881597368599101,0.9914089347079038,0.985207100591716
