Model,Split Seed,Shuffle Seed,Max Depth,Accuracy_train,F1 Score_train,Precision_train,Recall_Train
1,42,1,2,0.8485342019543974,0.8319278757428322,0.8338859416445623,0.8301136829288281
2,42,2,2,0.8241042345276873,0.7884730710831536,0.8337013783647254,0.7706906442813155
3,42,3,4,0.8778501628664495,0.868831446272164,0.8616644385026737,0.8800709493870957
4,42,4,6,0.9527687296416938,0.9484879956721353,0.9438186813186813,0.9539355835762706
5,42,5,5,0.8794788273615635,0.8670108765644573,0.8670108765644574,0.8670108765644574
6,42,6,2,0.8469055374592834,0.8345165322904362,0.8291259729872822,0.8420732207041083
7,42,7,7,0.9478827361563518,0.9429825070517359,0.9394839556492003,0.9468933300551439
8,42,8,3,0.8729641693811075,0.8618712505768344,0.8573347448462703,0.8675260206291783
9,42,9,3,0.8811074918566775,0.8674638587527019,0.8715686274509804,0.8638556191680423
10,42,10,5,0.9039087947882736,0.8940843851508798,0.8936565420560747,0.8945183988385843
11,42,11,8,0.9739413680781759,0.9711818267154793,0.9722460691731445,0.9701450598854975
12,42,12,7,0.9527687296416938,0.9487972854452129,0.9421875,0.9572371887183451
13,42,13,2,0.8306188925081434,0.8226695103527948,0.8170258087420524,0.8450118834369476
14,42,14,5,0.9120521172638436,0.9059830998695628,0.8973397489076931,0.920562443656118
15,42,15,5,0.9185667752442996,0.9109101672683375,0.9076715830195848,0.9145446243546065
16,42,16,5,0.9104234527687296,0.9003749583297687,0.9037573767371027,0.8973048599159379
17,42,17,2,0.8713355048859935,0.8602402417976933,0.855479047359331,0.8662791378361607
18,42,18,3,0.8762214983713354,0.8679121376811594,0.8600536133879029,0.8821256717361525
19,42,19,5,0.9283387622149837,0.9207500234675678,0.9217009866757612,0.9198248510179949
20,42,20,5,0.9120521172638436,0.9049350291881229,0.8982911470830095,0.913959233371969
21,42,21,2,0.8566775244299675,0.8407826496935407,0.8432266258353215,0.8385491669886318
