Split Seed,N_estimators,Depth of Tree,Mean Accuracy,Mean F1 Score,Mean Precision,Mean Recall
42,10,2,0.8666666666666666,0.8485533662879201,0.8755555555555554,0.8564285714285715
42,10,3,0.9066666666666666,0.8959012815305722,0.9057467532467534,0.9091666666666667
42,10,4,0.9199999999999999,0.9129550774078974,0.915,0.9324999999999999
42,10,5,0.9066666666666666,0.8959012815305721,0.9057467532467534,0.9091666666666667
42,10,6,0.8800000000000001,0.8640202399939241,0.8869505494505493,0.8587698412698413
42,10,7,0.8800000000000001,0.8594157742841955,0.8747943722943724,0.861547619047619
42,10,8,0.9333333333333333,0.9226583256560372,0.9301515151515153,0.9316666666666666
42,10,9,0.9199999999999999,0.9145061517429939,0.9283658008658009,0.9132142857142858
42,10,10,0.9066666666666666,0.8862918660287082,0.9009848484848485,0.8858333333333333
42,10,11,0.9066666666666666,0.890534821903243,0.9230544455544457,0.8841666666666667
42,10,12,0.9066666666666666,0.8905061517429939,0.9206734931734932,0.8798809523809524
42,10,13,0.9199999999999999,0.9039585326953749,0.9349592074592076,0.8941666666666667
42,10,14,0.9199999999999999,0.9039585326953749,0.9349592074592076,0.8941666666666667
42,10,15,0.9199999999999999,0.9039585326953749,0.9349592074592076,0.8941666666666667
42,10,16,0.9199999999999999,0.9039585326953749,0.9349592074592076,0.8941666666666667
42,10,17,0.9199999999999999,0.9039585326953749,0.9349592074592076,0.8941666666666667
42,10,18,0.9199999999999999,0.9039585326953749,0.9349592074592076,0.8941666666666667
42,10,19,0.9199999999999999,0.9039585326953749,0.9349592074592076,0.8941666666666667
42,10,20,0.9199999999999999,0.9039585326953749,0.9349592074592076,0.8941666666666667
42,50,2,0.9066666666666666,0.8956599542304213,0.9071356421356421,0.9073809523809524
42,50,3,0.8933333333333333,0.8728681552365763,0.8890800865800866,0.8758333333333332
42,50,4,0.9066666666666666,0.8959012815305721,0.9057467532467534,0.9091666666666667
42,50,5,0.9066666666666666,0.8959012815305721,0.9057467532467534,0.9091666666666667
42,50,6,0.8933333333333333,0.8686728184096605,0.8941666666666667,0.8691666666666666
42,50,7,0.9066666666666666,0.8862918660287082,0.9009848484848485,0.8858333333333333
42,50,8,0.9066666666666666,0.8959012815305721,0.9057467532467534,0.9091666666666667
42,50,9,0.9199999999999999,0.909324992322704,0.9176515151515152,0.9191666666666667
