Model,Split Seed,Shuffle Seed,Max Depth,Accuracy_train,F1 Score_train,Precision_train,Recall_Train
1,42,1,5,0.9916666666666667,0.9916549314139674,0.9920634920634921,0.9914529914529915
2,42,2,2,0.95,0.9497171590194845,0.9534391534391534,0.9491348759641443
3,42,3,3,0.9583333333333334,0.9583268218992552,0.9594820384294068,0.9589326662497394
4,42,4,2,0.975,0.9749960931395533,0.9761904761904763,0.975609756097561
5,42,5,3,0.975,0.9749647942419027,0.9753550543024226,0.9747759016051699
6,42,6,3,0.9833333333333333,0.9833229101521784,0.9833229101521784,0.9833229101521784
7,42,7,2,0.975,0.9749960931395533,0.9761904761904763,0.975609756097561
8,42,8,4,0.9833333333333333,0.9833333333333334,0.983739837398374,0.983739837398374
9,42,9,2,0.9666666666666667,0.966645820304357,0.966645820304357,0.966645820304357
10,42,10,3,0.9666666666666667,0.9665831244778613,0.9677351770375026,0.9662288930581614
11,42,11,2,0.975,0.9749960931395533,0.9761904761904763,0.975609756097561
12,42,12,3,0.975,0.9749960931395529,0.975,0.9751928288513655
13,42,13,2,0.9583333333333334,0.9582746570698378,0.962121212121212,0.959349593495935
14,42,14,2,0.9583333333333334,0.9582746570698378,0.962121212121212,0.959349593495935
15,42,15,2,0.975,0.9749960931395533,0.9761904761904763,0.975609756097561
16,42,16,3,0.9583333333333334,0.9582746570698378,0.962121212121212,0.959349593495935
17,42,17,2,0.95,0.9497171590194845,0.9534391534391534,0.9491348759641443
18,42,18,3,0.9833333333333333,0.9833333333333334,0.983739837398374,0.983739837398374
19,42,19,2,0.975,0.9749960931395533,0.9761904761904763,0.975609756097561
20,42,20,2,0.9416666666666667,0.9418544818359577,0.9436964504283966,0.9424692516155931
21,42,21,4,0.975,0.9749019607843138,0.9772727272727272,0.9743589743589745
