Model,Split Seed,Shuffle Seed,Max Depth,Accuracy_train,F1 Score_train,Precision_train,Recall_Train
1,42,1,2,0.971830985915493,0.9736943907156673,0.9727891156462585,0.9766081871345028
2,42,2,2,0.9507042253521126,0.9532445867466635,0.9526542324246772,0.9590643274853802
3,42,3,3,1.0,1.0,1.0,1.0
4,42,4,2,1.0,1.0,1.0,1.0
5,42,5,4,1.0,1.0,1.0,1.0
6,42,6,2,0.9577464788732394,0.9606481481481483,0.9607843137254902,0.9649122807017544
7,42,7,3,1.0,1.0,1.0,1.0
8,42,8,3,0.9577464788732394,0.9606481481481483,0.9607843137254902,0.9649122807017544
9,42,9,2,0.9436619718309859,0.9466725581402796,0.9469981238273921,0.9532163742690059
10,42,10,2,0.9507042253521126,0.9501390183568796,0.951058201058201,0.9528265107212475
11,42,11,3,1.0,1.0,1.0,1.0
12,42,12,2,1.0,1.0,1.0,1.0
13,42,13,2,0.9859154929577465,0.9868012422360248,0.9858156028368795,0.9883040935672515
14,42,14,2,0.971830985915493,0.9736943907156673,0.9727891156462585,0.9766081871345028
15,42,15,5,1.0,1.0,1.0,1.0
16,42,16,2,0.9507042253521126,0.9532445867466635,0.9526542324246772,0.9590643274853802
17,42,17,2,0.9788732394366197,0.9796133639128808,0.9803756658256239,0.979337231968811
18,42,18,2,0.971830985915493,0.9736024844720497,0.9726627981947131,0.9750487329434697
19,42,19,2,0.9788732394366197,0.980238302818948,0.9791666666666666,0.9824561403508771
20,42,20,2,0.9788732394366197,0.980238302818948,0.9791666666666666,0.9824561403508771
21,42,21,2,0.9929577464788732,0.9933561309233023,0.9942528735632185,0.9925925925925926
